file,outgoing_imports,incoming_refs,total
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfAll.java,9,0,9
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfAny.java,9,0,9
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfFileName.java,16,0,16
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfLastModified.java,18,0,18
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfNot.java,8,0,8
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PathCondition.java,4,2,6
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PathSortByModificationTime.java,5,0,5
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PathSorter.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PathWithAttributes.java,3,0,3
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PosixViewAttributeAction.java,24,2,26
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/ScriptCondition.java,15,0,15
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/SortingVisitor.java,12,0,12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/ZipCompressAction.java,7,1,8
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/routing/IdlePurgePolicy.java,16,0,16
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/routing/PurgePolicy.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/routing/Route.java,8,0,8
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/routing/Routes.java,18,0,18
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/routing/RoutingAppender.java,26,0,26
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AbstractAsyncExceptionHandler.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/async/ArrayBlockingQueueFactory.java,5,1,6
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLogger.java,27,0,27
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerConfig.java,24,3,27
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigDefaultExceptionHandler.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigDelegate.java,4,2,6
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerConfigDisruptor.java,25,1,26
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerContext.java,9,2,11
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerContextSelector.java,5,2,7
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerDefaultExceptionHandler.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerDisruptor.java,20,0,20
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncQueueFullMessageUtil.java,1,1,2
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncQueueFullPolicy.java,1,1,2
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncQueueFullPolicyFactory.java,5,1,6
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncWaitStrategyFactory.java,1,2,3
log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncWaitStrategyFactoryConfig.java,8,1,9
